"Address space creep";FastMM4_FullDebug;1125;1125;126232
"Address space creep (larger blocks)";FastMM4_FullDebug;672;672;182384
"Array Upsize 1 thread";FastMM4_FullDebug;1704;1719;336112
"Block downsize";FastMM4_FullDebug;219;219;439704
"Block size spread";FastMM4_FullDebug;296;297;449944
"Double Variables Access  3 arrays at a time";FastMM4_FullDebug;1657;1656;472728
"Double Variables Access  6 arrays at a time";FastMM4_FullDebug;1687;1688;472728
"Double Variables Access 18 arrays at a time";FastMM4_FullDebug;1813;1813;472728
"Fill Char using 2 threads";FastMM4_FullDebug;828;422;479384
"Fragmentation Test";FastMM4_FullDebug;3484;3484;542040
"Large block spread";FastMM4_FullDebug;62;63;474264
"Linked-list container";FastMM4_FullDebug;125;125;494744
"Many Short Lived Threads";FastMM4_FullDebug;26969;3437;506768
"Mem Free 1";FastMM4_FullDebug;203;203;539792
"Move 2 arrays at a time";FastMM4_FullDebug;2703;2703;558736
"Move 4 arrays at a time";FastMM4_FullDebug;2765;2766;558736
"Multi-threaded  2 allocate, use and free";FastMM4_FullDebug;735;250;543376
"Multi-threaded  2 reallocate and use";FastMM4_FullDebug;235;78;543376
"Multi-threaded  4 allocate, use and free";FastMM4_FullDebug;874;218;545424
"Multi-threaded  4 reallocate and use";FastMM4_FullDebug;266;63;545424
"Multi-threaded  8 allocate, use and free";FastMM4_FullDebug;1110;141;550800
"Multi-threaded  8 reallocate and use";FastMM4_FullDebug;343;47;550800
"Multi-threaded 12 allocate, use and free";FastMM4_FullDebug;1141;156;554896
"Multi-threaded 12 reallocate and use";FastMM4_FullDebug;343;63;554896
"Multi-threaded 16 allocate, use and free";FastMM4_FullDebug;1142;156;558992
"Multi-threaded 16 reallocate and use";FastMM4_FullDebug;406;63;558992
"Multi-threaded 31 allocate, use and free";FastMM4_FullDebug;1234;156;575632
"Multi-threaded 31 reallocate and use";FastMM4_FullDebug;578;125;575632
"Multi-threaded 64 allocate, use and free";FastMM4_FullDebug;1235;157;610704
"Multi-threaded 64 reallocate and use";FastMM4_FullDebug;671;94;610704
"NexusDB with  1 thread(s)";FastMM4_FullDebug;78;78;552592
"NexusDB with  2 thread(s)";FastMM4_FullDebug;94;47;554896
"NexusDB with  4 thread(s)";FastMM4_FullDebug;126;31;558224
"NexusDB with  8 thread(s)";FastMM4_FullDebug;234;31;562320
"NexusDB with 12 thread(s)";FastMM4_FullDebug;218;31;563344
"NexusDB with 16 thread(s)";FastMM4_FullDebug;235;32;567440
"NexusDB with 31 thread(s)";FastMM4_FullDebug;124;16;582800
"NexusDB with 64 thread(s)";FastMM4_FullDebug;251;31;616592
"Quick Sort Extended Array";FastMM4_FullDebug;249;31;559248
"Quick Sort Integer Array";FastMM4_FullDebug;31;31;552080
"Raw Performance  1 thread";FastMM4_FullDebug;63;62;551056
"Raw Performance  2 threads";FastMM4_FullDebug;281;140;553104
"Raw Performance  4 threads";FastMM4_FullDebug;469;125;556432
"Raw Performance  8 threads";FastMM4_FullDebug;1624;203;560528
"Raw Performance 12 threads";FastMM4_FullDebug;2406;312;565904
"Raw Performance 16 threads";FastMM4_FullDebug;3188;406;571280
"Raw Performance 31 threads";FastMM4_FullDebug;6376;797;590480
"Raw Performance 64 threads";FastMM4_FullDebug;13265;1672;631952
"ReallocMem Large (1-952224b)";FastMM4_FullDebug;16;16;571600
"ReallocMem Medium (1-4039b)";FastMM4_FullDebug;31;31;566416
"ReallocMem Small (1-555b)";FastMM4_FullDebug;47;46;566416
"Single Variables Access  3 arrays at a time";FastMM4_FullDebug;2406;2406;571216
"Single Variables Access  6 arrays at a time";FastMM4_FullDebug;2219;2219;568720
"Single-threaded allocate, use and free";FastMM4_FullDebug;750;750;567696
"Single-threaded reallocate and use";FastMM4_FullDebug;47;47;568976
"Single-threaded tiny reallocate and use";FastMM4_FullDebug;6593;6594;568976
"Small upsize";FastMM4_FullDebug;266;266;570256
"Sort Extended Array";FastMM4_FullDebug;422;63;578448
"Sort Integer Array";FastMM4_FullDebug;0;0;571280
"String  2 Thread Test";FastMM4_FullDebug;2516;1281;711056
"String  4 Thread Test";FastMM4_FullDebug;3234;843;739216
"String  8 Thread Test";FastMM4_FullDebug;5453;719;752016
"String 12 Thread Test";FastMM4_FullDebug;5360;703;785296
"String 16 Thread Test";FastMM4_FullDebug;5516;735;814736
"String 31 Thread Test";FastMM4_FullDebug;5719;719;909456
"String 64 Thread Test";FastMM4_FullDebug;6688;859;1128336
"Tiny downsize";FastMM4_FullDebug;234;234;1131600
"Transient threaded objects (96 threads)";FastMM4_FullDebug;234;32;1229200
"VerySmall downsize";FastMM4_FullDebug;5406;5406;1276112
