"Test";"Manager";"CPU(ms) Default_64";"Ticks(ms) Default_64";"Memory(Kb) Default_64";"CPU(%) FastMM4_64";"Ticks(%) FastMM4_64";"Memory(%) FastMM4_64";"CPU(%) FastMM5_64";"Ticks(%) FastMM5_64";"Memory(%) FastMM5_64";"CPU(%) ScaleMM2_64";"Ticks(%) ScaleMM2_64";"Memory(%) ScaleMM2_64";"CPU(%) TCMAlloc_64";"Ticks(%) TCMAlloc_64";"Memory(%) TCMAlloc_64";
"Multi-threaded  2 allocate, use and free";"Default";"5875";"2953";"134028";"110.365957446809";"73.5523196749069";"96.5857880442893";"95.7446808510638";"63.4947511005757";"109.168233503447";"79.7957446808511";"52.8953606501862";"109.260751484764";"94.4340425531915";"62.9529292245174";"1091.69725728952";
"Multi-threaded  2 reallocate and use";"Default";"5219";"2515";"136908";"138.014945391838";"96.9383697813121";"96.6576094895842";"101.207127802261";"70.2186878727634";"106.871767902533";"102.069361946733";"70.8151093439364";"106.962339673357";"123.050392795555";"86.3618290258449";"1068.73228737546";
"Multi-threaded  4 allocate, use and free";"Default";"6266";"3156";"141196";"128.167890201085";"51.489226869455";"98.5721975126774";"116.453878072135";"48.0354879594423";"102.900932037735";"97.765719757421";"42.553865652725";"112.416782345109";"112.958825406958";"46.0392902408112";"1037.72628119777";
"Multi-threaded  4 reallocate and use";"Default";"5265";"2343";"147916";"180.721747388414";"83.9948783610755";"97.7717082668542";"135.935422602089";"65.3435766111822";"98.2260201736121";"141.861348528015";"71.3615023474178";"109.386408502123";"160.854700854701";"74.6905676483141";"990.581140647394";
"Multi-threaded  8 allocate, use and free";"Default";"6188";"3156";"156812";"188.881706528765";"53.9607097591888";"98.7143841032574";"180.542986425339";"46.0392902408112";"99.1837359385761";"181.787330316742";"45.0570342205323";"118.20013774456";"166.903684550743";"45.532319391635";"936.997168584037";
"Multi-threaded  8 reallocate and use";"Default";"5328";"2344";"173132";"214.958708708709";"73.9761092150171";"96.6176096850958";"219.951201201201";"64.6331058020478";"105.803664256174";"233.445945945946";"69.3259385665529";"110.015479518518";"208.220720720721";"65.358361774744";"848.672689046508";
"Multi-threaded 12 allocate, use and free";"Default";"6359";"3344";"171148";"197.546784085548";"48.116028708134";"99.5699628391801";"184.541594590344";"44.377990430622";"111.21836071704";"177.166221103947";"43.450956937799";"119.667188632061";"170.02673376317";"43.9294258373206";"860.904012901115";
"Multi-threaded 12 reallocate and use";"Default";"5390";"2359";"195148";"234.823747680891";"70.8774904620602";"97.8190911513313";"224.656771799629";"64.94277236117";"111.708036977064";"232.189239332096";"71.513353115727";"112.821038391375";"209.313543599258";"65.536244171259";"755.026953901654";
"Multi-threaded 16 allocate, use and free";"Default";"6423";"3422";"185484";"198.271835590845";"47.4868497954413";"99.6032002760346";"182.453682080025";"43.8340151957919";"116.424058139786";"175.400903004826";"42.0222092343659";"123.115740441224";"171.243966993617";"43.3664523670368";"796.57328934032";
"Multi-threaded 16 reallocate and use";"Default";"5171";"2391";"221324";"240.204989363759";"70.5562526139691";"96.1974300121089";"234.770837362212";"64.7009619406106";"108.675064611158";"251.092631986076";"68.6323713927227";"91.1496267914912";"226.339199381164";"64.0317858636554";"667.58056062605";
"Multi-threaded 31 allocate, use and free";"Default";"6985";"3954";"240524";"187.22977809592";"42.2862923621649";"101.290515707372";"174.702934860415";"39.1249367728882";"114.049325639021";"165.297065139585";"36.7475973697521";"101.754502669172";"167.544738725841";"37.9362670713202";"620.676522924947";
"Multi-threaded 31 reallocate and use";"Default";"5921";"3078";"308364";"221.145076845128";"55.3606237816764";"96.9594375478331";"208.208072960649";"50.2599090318389";"109.879233632979";"214.034791420368";"53.2813515269656";"89.9949410437016";"203.192028373586";"50.227420402859";"484.127848905839";
"Multi-threaded 64 allocate, use and free";"Default";"7766";"5031";"353932";"171.632758176668";"34.1681574239714";"103.697885469525";"158.74323976307";"30.749354005168";"107.884000316445";"146.458923512748";"28.8809381832638";"131.967722613383";"155.536955961885";"30.431325780163";"431.345004125086";
"Multi-threaded 64 reallocate and use";"Default";"8124";"4203";"490892";"169.633185622846";"41.6369260052344";"98.3637948876739";"151.760216642048";"37.1639305258149";"105.319296301427";"158.296405711472";"39.0197477991911";"105.787016288715";"152.892663712457";"37.5446109921485";"310.998753289929";
"NexusDB with  1 thread(s)";"Default";"5735";"5734";"143244";"101.342632955536";"101.377746773631";"97.699031023987";"102.981691368788";"102.999651203348";"221.526905140879";"104.0802092415";"104.098360655738";"127.337968780542";"117.698343504795";"117.718869898849";"1020.74502247913";
"NexusDB with  2 thread(s)";"Default";"5687";"3984";"162188";"116.493757692984";"83.5341365461847";"97.9677904653858";"112.642869702831";"80.3965863453815";"190.60103090241";"105.222437137331";"75.3012048192771";"109.307716970429";"132.442412519782";"95.3062248995984";"902.150590672553";
"NexusDB with  4 thread(s)";"Default";"5531";"3531";"200076";"155.360694268668";"64.5992636646842";"97.7128691097383";"132.218405351654";"53.5259133389974";"141.712149383234";"123.449647441692";"53.1011045029737";"111.12777144685";"154.23973964925";"65.9303313508921";"732.335712429277";
"NexusDB with  8 thread(s)";"Default";"5313";"3453";"272012";"212.629399585921";"51.1439328120475";"98.3177212770025";"199.981178242048";"38.9226759339705";"111.387732894137";"187.935253152644";"36.200405444541";"114.866991162155";"213.212874082439";"43.4404865334492";"540.168816081644";
"NexusDB with 12 thread(s)";"Default";"6984";"4485";"345228";"230.455326460481";"48.4280936454849";"98.3037297090618";"199.785223367698";"40.4236343366778";"107.637850927503";"180.097365406644";"40.7580824972129";"111.269074350864";"205.154639175258";"52.263099219621";"426.796204247628";
"NexusDB with 16 thread(s)";"Default";"4813";"3172";"332684";"245.397880739663";"50.7250945775536";"123.248488054731";"209.058799085809";"40.8890290037831";"129.548760986402";"186.017037190941";"42.843631778058";"122.543915547487";"223.997506752545";"44.7982345523329";"444.119945654134";
"NexusDB with 31 thread(s)";"Default";"4266";"3281";"531084";"283.14580403188";"48.5522706491923";"128.060344502941";"225.996249413971";"37.1533069186224";"92.7213020915712";"209.493670886076";"39.0429747028345";"87.7548561056255";"241.373652133146";"41.9079548918013";"281.099788357397";
"NexusDB with 64 thread(s)";"Default";"4735";"5579";"626316";"364.963041182682";"40.8854633446854";"203.08917543221";"291.04540654699";"31.0987632192149";"201.244739077399";"256.071805702218";"28.284638824162";"122.315891658524";"296.346356916579";"33.3213837605306";"243.75363235172";
"Quick Sort Extended Array";"Default";"23703";"3172";"132492";"105.210310931106";"140.889029003783";"97.5123026295927";"102.902586170527";"101.481715006305";"873.263291368535";"102.632578154664";"102.459016393443";"242.782960480633";"105.210310931106";"119.703656998739";"1108.99073151587";
"Quick Sort Integer Array";"Default";"2125";"2125";"125324";"106.635294117647";"106.635294117647";"97.3700169161533";"104.376470588235";"104.376470588235";"902.783185981935";"104.423529411765";"104.423529411765";"250.949538795442";"106.588235294118";"106.588235294118";"1166.70071175513";
"Raw Performance  1 thread";"Default";"5063";"5063";"193932";"109.243531503061";"109.243531503061";"98.3004352040922";"26.5455263677661";"26.5257752320758";"582.874409586865";"32.1153466324314";"32.0955954967411";"144.217560794505";"31.1672921192969";"31.1672921192969";"753.424911824763";
"Raw Performance  2 threads";"Default";"5219";"5297";"143436";"135.313278405825";"66.9624315650368";"97.7021110460414";"35.9264226863384";"17.689258070606";"720.965448004685";"28.1279938685572";"13.8569001321503";"118.600630246242";"24.8515041195631";"17.689258070606";"1020.0925848462";
"Raw Performance  4 threads";"Default";"5672";"5781";"161612";"223.677715091678";"55.1288704376405";"98.7525678786229";"53.4555712270804";"13.2503027157931";"610.734351409549";"33.885754583921";"9.99827019546791";"121.73600970225";"22.0380818053597";"13.7865421207404";"906.633170804148";
"Raw Performance  8 threads";"Default";"6626";"6938";"197964";"341.216420162994";"48.1983280484289";"99.6282152310521";"76.396015695744";"9.23897376765638";"460.30793477602";"43.1482040446725";"5.17440184491208";"125.762259804813";"18.1557500754603";"10.8100317094263";"742.21777696955";
"Raw Performance 12 threads";"Default";"7453";"8016";"234316";"341.942841808668";"46.0079840319361";"99.685894262449";"77.5660807728432";"9.3562874251497";"365.733453968146";"40.8828659600161";"6.05039920159681";"128.539237610748";"22.2192405742654";"9.94261477045908";"628.817494323904";
"Raw Performance 16 threads";"Default";"6625";"7438";"270668";"367.456603773585";"42.2290938424308";"100.200984231605";"79.0037735849057";"9.03468674374832";"295.427608730991";"42.2188679245283";"5.87523527830062";"124.895443864809";"26.8830188679245";"10.2984673299274";"545.877606514254";
"Raw Performance 31 threads";"Default";"6297";"7937";"404108";"375.670954422741";"38.9819831170467";"101.354093460164";"85.1198983643005";"8.85725085044727";"181.91077632712";"44.402096236303";"4.72470706816177";"79.5995130014748";"32.4916626965222";"7.48393599596825";"369.425005196631";
"Raw Performance 64 threads";"Default";"13156";"18125";"715852";"397.871693523867";"37.0703448275862";"99.8346026832362";"91.6844025539678";"8.44689655172414";"139.167872688768";"44.0635451505017";"4.13793103448276";"59.2396193626616";"64.8525387655822";"7.24413793103448";"213.265870598951";
"ReallocMem Large (1-952224b)";"Default";"9969";"9969";"1312012";"120.533654328418";"120.533654328418";"99.0902522233028";"54.5390711204735";"54.5390711204735";"115.307177068502";"62.3833885043635";"62.3833885043635";"116.082169980153";"52.1917945631457";"52.1917945631457";"111.365749703509";
"ReallocMem Medium (1-4039b)";"Default";"1704";"1703";"125580";"116.431924882629";"116.559013505578";"97.3753782449435";"108.215962441315";"108.220786846741";"224.962573658226";"142.136150234742";"142.21961244862";"120.786749482402";"132.042253521127";"132.119788608338";"1163.50692785475";
"ReallocMem Small (1-555b)";"Default";"1296";"1297";"125580";"109.722222222222";"109.637625289129";"96.3561076604555";"114.583333333333";"114.417887432537";"220.070074852684";"112.114197530864";"112.027756360833";"118.340500079631";"137.422839506173";"137.316885119507";"1163.50692785475";
"Single-threaded allocate, use and free";"Default";"17126";"17125";"679500";"101.179493168282";"101.191240875912";"99.5149374540103";"102.084549807311";"102.102189781022";"102.411184694628";"107.836038771459";"107.848175182482";"127.614422369389";"87.2241037019736";"87.229197080292";"215.030463576159";
"Single-threaded reallocate and use";"Default";"6672";"6672";"1040460";"94.8441247002398";"94.8441247002398";"98.6990369644196";"92.5209832134293";"92.5059952038369";"98.0562443534591";"93.2104316546763";"93.2104316546763";"91.9781635046037";"92.970623501199";"92.970623501199";"140.431347673145";
"Single-threaded tiny reallocate and use";"Default";"3265";"3265";"125324";"92.3430321592649";"92.3736600306279";"96.5529347930165";"87.5650842266462";"87.5650842266462";"215.617120423861";"82.3277182235835";"82.2970903522205";"129.204302448055";"119.632465543645";"119.632465543645";"1165.88362963199";
"Single Variables Access  3 arrays at a time";"Default";"2407";"2407";"127820";"101.911092646448";"101.911092646448";"97.4714442184322";"99.9584545076859";"99.9584545076859";"218.366452824284";"99.3352721229747";"99.3352721229747";"117.067751525583";"101.287910261737";"101.246364769423";"1143.91800970114";
"Single Variables Access  6 arrays at a time";"Default";"2218";"2219";"125324";"100.045085662759";"100";"97.3700169161533";"100.045085662759";"100";"221.336695285819";"100.045085662759";"99.9549346552501";"119.399316970413";"102.119026149684";"102.118071203245";"1166.70071175513";
"Small upsize";"Default";"5344";"5344";"141004";"83.9258982035928";"83.9258982035928";"96.9362571274574";"76.0104790419162";"76.0104790419162";"198.402882187739";"89.1654191616767";"89.1654191616767";"125.23048991518";"89.4648203592814";"89.4648203592814";"1036.23443306573";
"Sort Extended Array";"Default";"45735";"8657";"133516";"97.4024270252542";"88.4486542682222";"96.7644327271638";"94.8398381983164";"81.2290631858612";"203.921627370502";"94.6343063299442";"80.5013284047591";"126.645495670931";"95.7975292445611";"85.7340880212545";"1100.48533509093";
"Sort Integer Array";"Default";"9250";"9250";"126348";"98.4756756756757";"98.4864864864865";"96.5808718776712";"96.4540540540541";"96.4540540540541";"209.817329914205";"96.2918918918919";"96.2918918918919";"128.157153259252";"98.1405405405405";"98.1405405405405";"1157.24506917403";
"String  2 Thread Test";"Default";"9265";"9359";"126604";"122.77388019428";"61.4381878405813";"96.587785536002";"85.3426875337291";"42.4083769633508";"140.64326561562";"82.9681597409606";"41.243722619938";"132.750939938707";"103.38909875877";"53.2642376322257";"1154.09623708572";
"String  4 Thread Test";"Default";"6719";"6812";"126604";"263.699955350499";"66.7351732237228";"96.587785536002";"214.868283970829";"52.9947152084557";"145.496192853306";"206.503944039292";"51.6147974163241";"131.942118732426";"225.10790296175";"64.6946564885496";"1154.09623708572";
"String  8 Thread Test";"Default";"6422";"6656";"126604";"455.948302709436";"65.9705528846154";"96.587785536002";"462.285892245406";"56.3401442307692";"167.334365422893";"469.090625973217";"57.5120192307692";"141.647973207798";"327.717222049206";"64.7986778846154";"1154.09623708572";
"String 12 Thread Test";"Default";"6563";"7015";"126604";"451.881761389608";"64.8182466143977";"96.587785536002";"456.635684900198";"54.1268709907341";"189.172537992481";"454.258723144903";"55.0249465431219";"131.942118732426";"381.883285083041";"60.1425516749822";"1154.09623708572";
"String 16 Thread Test";"Default";"6203";"6829";"126604";"517.136869256811";"65.8954458925172";"96.587785536002";"484.878284700951";"55.8207643871724";"213.437174180911";"470.030630340158";"56.0550593059013";"132.750939938707";"458.455586006771";"59.4816224923122";"1154.09623708572";
"String 31 Thread Test";"Default";"5922";"7328";"125580";"577.034785545424";"62.6910480349345";"97.1715241280459";"507.125970955758";"52.0332969432314";"313.027552157987";"490.222897669706";"50.9552401746725";"133.833412963848";"516.599121918271";"54.7898471615721";"1163.50692785475";
"String 64 Thread Test";"Default";"5532";"8062";"125580";"636.352133044107";"58.5338625651203";"98.1907947125338";"532.140274765004";"46.129992557678";"508.727504379678";"511.225596529284";"44.5671049367403";"133.839783405001";"547.37888647867";"48.064996278839";"1163.50692785475";
"Tiny downsize";"Default";"2672";"2672";"131340";"97.0434131736527";"97.0808383233533";"98.2701385716461";"83.0464071856287";"83.0089820359281";"414.59113750571";"111.115269461078";"111.077844311377";"127.093040962388";"112.874251497006";"114.034431137725";"1112.48058474189";
"Transient threaded objects (96 threads)";"Default";"16";"1390";"222604";"41800";"66.2589928057554";"98.9793534707373";"27731.25";"40.431654676259";"285.613915293526";"7812.5";"11.2230215827338";"116.042838403623";"8393.75";"12.3741007194245";"700.542667696897";
"VerySmall downsize";"Default";"530";"531";"127436";"97.3584905660377";"97.1751412429379";"98.2171442920368";"73.7735849056604";"73.6346516007533";"363.963087353652";"97.3584905660377";"97.1751412429379";"127.219937851157";"97.3584905660377";"96.9868173258004";"1146.56141121818";
