"Test";"Manager";"CPU(ms) Default_32";"Ticks(ms) Default_32";"Memory(Kb) Default_32";"CPU(%) FastMM4_32";"Ticks(%) FastMM4_32";"Memory(%) FastMM4_32";"CPU(%) FastMM5_32";"Ticks(%) FastMM5_32";"Memory(%) FastMM5_32";"CPU(%) ScaleMM2_32";"Ticks(%) ScaleMM2_32";"Memory(%) ScaleMM2_32";"CPU(%) TCMAlloc_32";"Ticks(%) TCMAlloc_32";"Memory(%) TCMAlloc_32";
"Move 4 arrays at a time";"Default";"2781";"2782";"140340";"102.804746494067";"102.767792954709";"96.9217614365113";"101.690039554117";"101.653486700216";"116.052444064415";"102.229413879899";"102.228612508986";"113.931879720678";"98.8852930600503";"98.8497483824587";"1038.52073535699";
"Multi-threaded  2 allocate, use and free";"Default";"5609";"5578";"130100";"117.578891067927";"59.9498027967013";"97.4665641813989";"119.504367980032";"60.7923987092148";"114.364335126826";"114.779818149403";"58.5335245607745";"108.141429669485";"112.533428418613";"57.7088562208677";"1118.29362029208";
"Multi-threaded  2 reallocate and use";"Default";"6016";"3515";"135220";"110.887632978723";"96.927453769559";"96.6158852240793";"103.889627659574";"90.697012802276";"100.946605531726";"103.889627659574";"90.6685633001423";"105.561307498891";"108.045212765957";"93.3428165007112";"1075.95030320958";
"Multi-threaded  4 allocate, use and free";"Default";"5250";"4531";"139060";"152.380952380952";"45.1776649746193";"97.6298000862937";"150.609523809524";"45.5307879055396";"100";"137.504761904762";"40.6974177885676";"110.378253991083";"137.2";"41.050540719488";"1048.07996548253";
"Multi-threaded  4 reallocate and use";"Default";"6250";"2718";"148020";"128";"77.0419426048565";"96.9085258748818";"118.496";"71.8543046357616";"98.0975543845426";"126.48";"74.7608535688006";"107.155789758141";"124.512";"74.1721854304636";"984.637211187677";
"Multi-threaded  8 allocate, use and free";"Default";"5093";"4453";"155700";"257.706656194777";"37.9070289692342";"97.8831085420681";"249.734930296485";"36.8515607455648";"98.5202312138728";"243.60887492637";"35.7960925218954";"116.996788696211";"231.631651286079";"34.7181675275095";"939.357739242132";
"Multi-threaded  8 reallocate and use";"Default";"6954";"2265";"171060";"188.970376761576";"76.6004415011038";"99.5697416111306";"184.469370146678";"75.1876379690949";"100.448965275342";"196.836353178027";"78.6313465783664";"110.681632175845";"181.320103537532";"73.112582781457";"855.009938033439";
"Multi-threaded 12 allocate, use and free";"Default";"4859";"4391";"171060";"277.834945462029";"39.4898656342519";"98.8214661522273";"256.616587775262";"39.5126394898656";"110.625511516427";"241.469438155999";"41.6533819175586";"121.456798784052";"238.917472731015";"36.6431336825325";"858.003039869052";
"Multi-threaded 12 reallocate and use";"Default";"7047";"2297";"196340";"191.130977721016";"78.232477144101";"98.4842619944993";"184.688519937562";"73.487157161515";"110.463481715392";"194.67858663261";"80.2786242925555";"111.555465009677";"178.487299560096";"73.4436221158032";"747.529795253132";
"Multi-threaded 16 allocate, use and free";"Default";"4735";"4234";"186420";"286.420274551214";"41.3320736891828";"99.6051925759039";"270.26399155227";"39.1355692017005";"110.848621392554";"243.210137275607";"39.4898441190364";"124.632550155563";"245.828933474129";"38.0018894662258";"790.054715159318";
"Multi-threaded 16 reallocate and use";"Default";"7155";"2312";"224180";"188.455625436758";"80.4065743944637";"97.5305558033723";"169.895178197065";"79.0657439446367";"96.2886965831029";"189.769392033543";"85.121107266436";"110.49156927469";"175.359888190077";"77.0328719723183";"656.980997412793";
"Multi-threaded 31 allocate, use and free";"Default";"3922";"4219";"247860";"339.036206017338";"40.7442521924627";"98.6702170580166";"310.351861295258";"38.8954728608675";"108.469297183894";"292.427332993371";"37.4022280161176";"126.282578875171";"307.190209077002";"37.7814648020858";"601.960784313726";
"Multi-threaded 31 reallocate and use";"Default";"7484";"2578";"307380";"181.012827365045";"69.1233514352211";"99.031817294554";"169.735435595938";"63.6539953452289";"96.4604073134231";"171.191876002138";"67.8820791311094";"108.826859262151";"164.310529128808";"63.6539953452289";"485.39918016787";
"Multi-threaded 64 allocate, use and free";"Default";"2610";"4891";"365620";"484.329501915709";"33.5514209773053";"102.599420163011";"443.026819923372";"30.6685749335514";"95.308790547563";"426.245210727969";"30.6685749335514";"122.603796291231";"456.168582375479";"31.9362093641382";"419.632405229473";
"Multi-threaded 64 reallocate and use";"Default";"7969";"3860";"497140";"166.26929351236";"44.9222797927461";"101.010580520578";"149.215710879659";"40.0777202072539";"66.1294605141409";"161.187100012549";"43.7305699481865";"111.390755119282";"151.763081942527";"40.4663212435233";"308.617290903971";
"NexusDB with  1 thread(s)";"Default";"4125";"4125";"140340";"98.1090909090909";"98.0848484848485";"97.6514179848938";"98.8606060606061";"98.8606060606061";"183.910503063987";"89.769696969697";"89.769696969697";"171.680205215904";"126.133333333333";"126.133333333333";"1035.78452330056";
"NexusDB with  2 thread(s)";"Default";"3718";"3609";"159540";"124.394835933297";"64.0897755610973";"97.9340604237182";"122.70037654653";"63.2308118592408";"154.877773599097";"98.3055406132329";"50.6511499030202";"143.477497806193";"139.51048951049";"71.848157384317";"911.934311144541";
"NexusDB with  4 thread(s)";"Default";"3579";"3484";"196660";"156.300642637608";"43.0539609644087";"98.3240109834232";"137.52444816988";"35.8783008036739";"128.508085019831";"122.240849399274";"37.2273249138921";"110.407810434252";"155.881531153954";"43.0539609644087";"741.106478185701";
"NexusDB with  8 thread(s)";"Default";"3312";"3156";"270900";"274.547101449275";"36.6286438529785";"98.3108157991879";"218.417874396135";"28.7072243346008";"115.592469545958";"169.384057971014";"22.7820025348542";"113.792543373939";"252.868357487923";"33.6501901140684";"539.896640826873";
"NexusDB with 12 thread(s)";"Default";"4328";"3954";"328500";"274.722735674677";"39.5042994436014";"103.282800608828";"203.627541589649";"35.1795649974709";"110.910197869102";"159.56561922366";"27.6428932726353";"105.373515981735";"236.090573012939";"39.5042994436014";"446.788432267884";
"NexusDB with 16 thread(s)";"Default";"2547";"3047";"308020";"352.767962308598";"37.4138496882179";"133.421206415168";"240.478994895956";"26.649163111257";"145.877540419453";"176.050255202199";"20.5119789957335";"118.363742614116";"271.142520612485";"32.2940597308828";"478.157262515421";
"NexusDB with 31 thread(s)";"Default";"2110";"3125";"388660";"399.194312796209";"36";"176.546081407914";"256.208530805687";"22.496";"173.50795039366";"185.876777251185";"16.992";"128.780939638759";"299.905213270142";"27.008";"383.888231359028";
"NexusDB with 64 thread(s)";"Default";"2578";"5953";"672820";"487.897595034911";"28.0866789853855";"191.017508397491";"300.620636152056";"16.5294809339829";"171.798103504652";"210.938712179984";"11.8259700991097";"79.6040545762611";"341.233514352211";"19.4187804468335";"228.03424392854";
"Quick Sort Extended Array";"Default";"93374";"12281";"132660";"97.892346905991";"97.9643351518606";"96.5505804311775";"99.7333304774348";"99.4870124582689";"789.497964721845";"100.470152290788";"100.7654099829";"158.269259761797";"101.138432540108";"101.148114974351";"1102.50263832353";
"Quick Sort Integer Array";"Default";"4219";"4219";"122420";"99.6207632140318";"99.6207632140318";"97.3076294723084";"98.8859919412183";"98.8859919412183";"845.708217611501";"100";"100";"164.188858029734";"100.355534486845";"100.379236785968";"1187.40401895115";
"Raw Performance  1 thread";"Default";"4812";"4813";"189492";"100.020781379884";"100";"98.9361028433918";"24.6882793017456";"24.6831498026179";"545.688472336563";"29.5511221945137";"29.5449823394972";"107.559158170266";"30.5278470490441";"30.5215042592977";"766.438688704536";
"Raw Performance  2 threads";"Default";"5032";"5110";"140788";"136.327503974563";"67.573385518591";"98.568059777822";"34.7774244833068";"17.1232876712329";"668.639372673807";"25.4570747217806";"12.5244618395303";"117.492968150695";"21.422893481717";"15.5772994129159";"1033.39773276131";
"Raw Performance  4 threads";"Default";"5485";"5610";"159476";"205.123062898815";"50.6773618538324";"98.7358599413078";"58.3956244302644";"14.4919786096257";"564.922621585693";"26.1987237921604";"6.39928698752228";"120.098322004565";"18.8149498632634";"12.8163992869875";"913.905540645614";
"Raw Performance  8 threads";"Default";"6359";"6688";"196852";"401.242333700267";"48.8337320574163";"99.6261150509012";"74.4456675577921";"8.88157894736842";"439.975209802288";"41.0441893379462";"4.90430622009569";"123.825005587954";"13.5084132725271";"9.82356459330144";"742.98457724585";
"Raw Performance 12 threads";"Default";"7125";"7750";"236788";"377.628070175439";"44.5548387096774";"99.1486055036573";"73.6842105263158";"9.07096774193548";"352.364140074666";"39.480701754386";"5.63870967741935";"124.131290437015";"16.8982456140351";"10.6838709677419";"619.837153909826";
"Raw Performance 16 threads";"Default";"6265";"7141";"271604";"380.830007980846";"43.1032068337768";"100.200291601007";"76.3128491620112";"8.97633384680017";"285.328640226212";"41.6440542697526";"5.46141996919199";"125.185196094314";"21.9473264166002";"9.4104467161462";"542.267418741992";
"Raw Performance 31 threads";"Default";"5984";"7875";"412724";"392.98128342246";"38.6920634920635";"100.410928368595";"81.1998663101604";"7.93650793650794";"179.7666237001";"42.3128342245989";"4.16507936507937";"72.3330845795253";"25.8355614973262";"7.33968253968254";"361.505509735319";
"Raw Performance 64 threads";"Default";"12719";"17938";"727796";"399.135152134602";"36.3251198572862";"100.364937427521";"86.972246245774";"7.74891292228788";"115.802230295303";"41.1510338863118";"3.74623703868882";"50.44600410005";"64.376130198915";"7.57609543984837";"210.809072872069";
"ReallocMem Large (1-952224b)";"Default";"10157";"10156";"1297076";"100.452889632766";"100.472627018511";"100.678449065436";"53.0668504479669";"53.0819220165419";"117.654478226411";"45.0723638869745";"45.0768018905081";"116.952900215562";"48.144137048341";"48.15872390705";"111.970308601809";
"ReallocMem Medium (1-4039b)";"Default";"12609";"12610";"122420";"100";"99.9920697858842";"97.3076294723084";"99.0165754619716";"99.0087232355274";"232.370527691554";"100.372749623285";"100.364789849326";"118.810651854272";"101.118248869855";"101.110229976209";"1186.3584381637";
"ReallocMem Small (1-555b)";"Default";"14500";"14516";"122420";"99.8965517241379";"99.779553596032";"96.2620486848554";"100.103448275862";"100";"229.861133801666";"99.6758620689655";"99.5659961421879";"116.301257964385";"104.310344827586";"104.195370625517";"1186.3584381637";
"Single-threaded allocate, use and free";"Default";"19141";"19140";"671412";"89.9535029517789";"89.9634273772205";"99.3184512639035";"95.9145290214722";"95.9247648902821";"103.584088458353";"105.307977639622";"105.313479623824";"125.277474933424";"88.5742646674677";"88.5736677115987";"216.311296193693";
"Single-threaded reallocate and use";"Default";"6875";"6875";"1018932";"92.2763636363636";"92.2763636363636";"99.676524046747";"95.68";"95.68";"99.8492539246976";"100.450909090909";"100.450909090909";"94.5468392395175";"98.1818181818182";"98.1818181818182";"142.535517581154";
"Single-threaded tiny reallocate and use";"Default";"4063";"4063";"121140";"104.208712773812";"104.208712773812";"97.2791811127621";"112.675363032242";"112.675363032242";"237.361730229487";"101.919763721388";"101.919763721388";"127.673765890705";"142.677824267782";"142.65321191238";"1198.89384183589";
"Single Variables Access  3 arrays at a time";"Default";"1500";"1500";"124340";"100";"100";"98.0698085893518";"100";"100";"228.730899147499";"100";"100";"115.534823870034";"100";"100";"1169.06868264436";
"Single Variables Access  6 arrays at a time";"Default";"1328";"1328";"122420";"100.075301204819";"100";"97.3076294723084";"101.204819277108";"101.204819277108";"230.906714589119";"100";"100";"117.346838751838";"108.207831325301";"108.28313253012";"1187.40401895115";
"Small upsize";"Default";"8203";"8203";"129012";"101.523832744118";"101.523832744118";"97.4451988962267";"97.3302450323053";"97.3302450323053";"212.312032989179";"99.8049494087529";"99.8171400707058";"123.604005828915";"102.279653785201";"102.291844447153";"1125.74024121787";
"Sort Extended Array";"Default";"90312";"14062";"131380";"100.329967224732";"100.448015929455";"97.4912467651088";"94.9840552750465";"94.5526952069407";"210.287715025118";"100.346576313225";"99.7866590812118";"123.17856599178";"99.9833909115068";"98.8977385862608";"1113.24402496575";
"Sort Integer Array";"Default";"10281";"10359";"122420";"99.3872191421068";"98.6485181967371";"97.3076294723084";"99.0856920533022";"98.4940631335071";"218.359745139683";"100.612780857893";"100";"124.8750204215";"100.612780857893";"100.009653441452";"1187.40401895115";
"String  2 Thread Test";"Default";"8750";"8828";"121140";"118.754285714286";"59.8210240144993";"99.392438500908";"87.8628571428571";"43.5432714091527";"135.925375598481";"72.3085714285714";"35.9311282283643";"131.900280666997";"102.32";"52.9225192569098";"1198.89384183589";
"String  4 Thread Test";"Default";"5328";"5422";"121140";"295.326576576577";"75.2120988565105";"99.392438500908";"263.926426426426";"64.8469199557359";"140.997193330031";"247.222222222222";"61.1029140538547";"131.054977711738";"239.883633633634";"76.0789376613796";"1198.89384183589";
"String  8 Thread Test";"Default";"5016";"5140";"119860";"668.799840510367";"82.3735408560311";"100.45386283998";"593.102073365231";"72.9571984435798";"198.888703487402";"574.740829346092";"70.8365758754864";"132.454530285333";"323.983253588517";"78.7354085603113";"1211.69697980978";
"String 12 Thread Test";"Default";"5141";"5484";"121140";"630.033067496596";"79.1940189642597";"99.392438500908";"574.732542306944";"68.3807439824945";"201.859006108635";"535.810153666602";"66.1013858497447";"131.054977711738";"422.135771250729";"73.2312180889861";"1198.89384183589";
"String 16 Thread Test";"Default";"5375";"5797";"119860";"616";"76.5568397446955";"99.3859502753212";"551.181395348837";"65.2406417112299";"224.518605039212";"518.902325581395";"62.256339485941";"136.726180543968";"472.986046511628";"68.7252026910471";"1211.69697980978";
"String 31 Thread Test";"Default";"5078";"6296";"121140";"685.840882237101";"74.9523506988564";"99.392438500908";"597.243009058684";"60.5622617534943";"305.831269605415";"553.229617959827";"57.3221092757306";"130.20967475648";"601.851122489169";"63.5324015247776";"1198.89384183589";
"String 64 Thread Test";"Default";"4625";"7422";"121140";"777.383783783784";"65.6831042845594";"99.392438500908";"644.583783783784";"51.3742926434923";"490.952616807";"601.708108108108";"48.0059283212072";"126.835066864785";"659.783783783784";"53.4761519805982";"1198.89384183589";
"Tiny downsize";"Default";"2296";"2296";"123380";"99.3466898954704";"99.3466898954704";"99.4034689576917";"87.7613240418118";"87.8048780487805";"362.888636732047";"113.632404181185";"113.675958188153";"124.065488733993";"129.311846689895";"129.268292682927";"1177.12757335062";
"Transient threaded objects (96 threads)";"Default";"47";"1219";"242740";"11368.085106383";"56.357670221493";"99.6967949246107";"7648.93617021277";"37.1616078753076";"233.62115844113";"2161.70212765957";"11.4848236259229";"112.286396967949";"2893.6170212766";"14.109926168991";"648.93301474829";
"VerySmall downsize";"Default";"469";"469";"121460";"100";"100";"99.3940391898567";"73.134328358209";"73.3475479744136";"311.401284373456";"102.985074626866";"103.19829424307";"124.554585871892";"103.19829424307";"103.19829424307";"1195.73522147209";
