"Test";"Manager";"CPU(ms) Default_32";"Ticks(ms) Default_32";"Memory(Kb) Default_32";"CPU(%) FastMM4_32";"Ticks(%) FastMM4_32";"Memory(%) FastMM4_32";"CPU(%) FastMM5_32";"Ticks(%) FastMM5_32";"Memory(%) FastMM5_32";"CPU(%) ScaleMM2_32";"Ticks(%) ScaleMM2_32";"Memory(%) ScaleMM2_32";"CPU(%) TCMAlloc_32";"Ticks(%) TCMAlloc_32";"Memory(%) TCMAlloc_32";
"Address space creep";"Default";"3813";"3813";"536884";"112.693417256753";"112.667191188041";"99.1789660336311";"137.686860739575";"137.686860739575";"98.8392278406509";"137.686860739575";"137.686860739575";"120.582472191386";"93.8368738526095";"93.8368738526095";"99.0299580542538";
"Address space creep (larger blocks)";"Default";"2406";"2406";"848948";"82.4605153782211";"82.4605153782211";"99.7625296249005";"105.901911886949";"105.860349127182";"100.542789428799";"164.921030756442";"164.962593516209";"100.060309936533";"124.02327514547";"124.064837905237";"109.649589845314";
"Array Upsize 1 thread";"Default";"688";"687";"347444";"104.505813953488";"104.512372634643";"102.790665546102";"93.0232558139535";"93.1586608442504";"119.488608236147";"95.3488372093023";"95.4876273653566";"104.826101472467";"175";"175.109170305677";"418.817420936899";
"Block downsize";"Default";"8531";"8531";"201524";"112.097057789239";"112.097057789239";"98.3644627935134";"140.663462665573";"140.663462665573";"100.127032016038";"148.177235962959";"148.177235962959";"136.712252634922";"119.962489743289";"119.962489743289";"722.075782537068";
"Block size spread";"Default";"4547";"4547";"460084";"96.8770617989884";"96.8990543215307";"99.283609080081";"101.03364855949";"101.03364855949";"100.612062145173";"182.098086650539";"182.120079173081";"121.310891054677";"76.6219485374972";"76.6219485374972";"316.280505299032";
"Double Variables Access  3 arrays at a time";"Default";"1906";"1906";"125748";"91.0283315844701";"91.8153200419727";"97.3788847536343";"91.8153200419727";"91.8153200419727";"117.915195470306";"91.8153200419727";"91.8153200419727";"113.032414034418";"91.8153200419727";"91.8153200419727";"1158.21802334828";
"Double Variables Access  6 arrays at a time";"Default";"1859";"1859";"125748";"91.6083916083916";"91.6083916083916";"96.3609759200942";"92.4690693921463";"92.4690693921463";"117.915195470306";"92.4690693921463";"92.4690693921463";"113.032414034418";"95.8041958041958";"95.8041958041958";"1158.21802334828";
"Double Variables Access 18 arrays at a time";"Default";"1906";"1906";"125748";"91.8153200419727";"91.8153200419727";"97.3788847536343";"92.6023084994753";"92.6023084994753";"117.915195470306";"98.3735571878279";"98.3735571878279";"113.032414034418";"148.426023084995";"148.373557187828";"1158.21802334828";
"Fill Char using 2 threads";"Default";"5282";"4296";"131380";"110.0530102234";"67.6443202979516";"97.4912467651088";"107.970465732677";"66.9227188081937";"117.87791140204";"93.4873154108292";"58.5661080074488";"112.038362003349";"58.2544490723211";"37.4767225325885";"1109.54178718222";
"Fragmentation Test";"Default";"4781";"4781";"164660";"90.8387366659695";"90.8596527923029";"97.9982995262966";"50.9935160008366";"50.9725998745032";"111.349447346046";"51.3072578958377";"51.3072578958377";"107.234300983846";"59.7992051871993";"59.7992051871993";"883.733754403012";
"Large block spread";"Default";"2937";"2937";"389428";"98.4337759618658";"98.3997276132108";"99.1536304528693";"97.344228804903";"97.3782771535581";"98.4880388672617";"96.8335035750766";"96.8335035750766";"100.856641022217";"86.1763704460334";"86.1763704460334";"373.664965025627";
"Linked-list container";"Default";"3000";"3000";"787508";"99.4666666666667";"99.4666666666667";"99.5814645692488";"98.9666666666667";"98.9666666666667";"99.4148630871051";"143.733333333333";"143.733333333333";"119.180503563138";"94.3";"94.2666666666667";"184.77983715721";
"Many Short Lived Threads";"Default";"266";"1422";"124980";"505.263157894737";"13.2208157524613";"97.3627780444871";"328.947368421053";"8.79043600562588";"120.073611777884";"228.947368421053";"7.66526019690577";"112.981277004321";"252.631578947368";"8.79043600562588";"1165.13042086734";
"Mem Free 1";"Default";"718";"750";"126260";"97.9108635097493";"98";"97.389513701885";"102.089136490251";"100";"119.870109298273";"141.504178272981";"139.6";"110.416600665294";"123.955431754875";"122.933333333333";"1154.33233011247";
"Move 2 arrays at a time";"Default";"2641";"2641";"143156";"100.567966679288";"100.567966679288";"98.4129201710023";"99.4320333207119";"99.394168875426";"116.451982452709";"100.605831124574";"100.605831124574";"111.690742965716";"98.8262021961378";"98.788337750852";"1018.09215121965";
